Facultad/Departamento,2016-2,2017-1,2017-2,2018-1,2018-2,2019-1,2019-2,2020-1,2020-2,2021-1
Administración,5667,5733,5815,6008,6257,6316,6406,6134,6836,6779
Arquitectura,3441,3277,3266,3253,3086,3493,3403,3543,3683,4270
Diseño,3381,3352,3465,3545,3535,3622,3693,4020,4113,4418
Arquitectura y Diseño,6822,6629,6731,6798,6621,7115,7095,7563,7796,8688
Arte,2017,1891,1667,1760,1718,1703,1610,1575,1387,1615
Historia del Arte,649,826,659,668,740,768,525,794,876,699
Humanidades y Literatura,2054,2046,2206,1945,1774,1828,1854,2050,2031,1855
Música,1925,1857,1934,1873,1795,1834,2155,2087,1980,2338
Periodismo,635,730,787,784,521,590,832,862,1136,1305
Decanatura,,,,,42,160,223,386,459,369
Artes y Humanidades,7280,7350,7253,7030,6590,6883,7199,7754,7869,8181
Ciencias Biológicas,5331,5518,5227,5474,5237,5315,5288,4750,3879,4152
Física,5632,5455,5453,5399,4889,5140,5012,4913,5464,5103
Geociencias,1180,1068,1186,1200,1170,1036,964,894,889,937
Matemáticas,7266,7153,6959,6846,6541,6508,6372,6524,6828,6967
Química,3236,3282,2930,2794,2864,2876,2606,2869,2433,2777
Decanatura de Ciencias,,,,,,,,7,108,159
Ciencias,22645,22476,21755,21713,20701,20875,20242,19957,19601,20095
Antropología,1457,1502,1414,1461,1163,1319,1195,1093,1158,884
Ciencia Política,1337,1432,1357,1355,1452,1332,1327,1212,1442,1292
Filosofía,997,934,878,747,759,738,921,704,982,851
Historia,1618,1770,1581,1416,1251,1093,1091,1320,1076,989
Lenguas y Cultura*,6913,7064,8362,8675,8705,8322,8130,8461,9098,9678
Psicología,2179,2058,2109,2011,1884,1650,1658,1725,1800,1789
Ciclo Ciencias Sociales,,,,,247,278,245,211,272,408
Ciencias Sociales,14501,14760,15701,15665,15461,14732,14567,14726,15828,15891
Derecho,6749,6784,6640,6608,6926,6947,6838,7005,7141,7345
Economía,3711,3664,3697,4112,4152,4237,4109,4449,4799,4877
Educación,664,666,666,731,953,693,1165,1003,1533,1131
Escuela de Gobierno,712,543,904,866,876,887,968,978,1024,1184
Ingeniería Biomédica,1211,1267,1291,1461,1497,1513,1457,1752,1724,2010
Ingeniería Civil y Ambiental,5106,4661,4861,4643,4540,4372,4069,3634,3464,3572
Ingeniería Eléctrica y Electrónica,2389,2355,2571,2348,2850,2745,2716,2635,2472,2592
Ingeniería General,215,220,214,210,337,220,109,15,37,39
Ingeniería Industrial,5042,5098,5159,4907,5218,4891,4570,4492,4493,4508
Ingeniería Mecánica,2271,2435,2519,2439,2287,2162,2195,2524,2321,2638
Ingeniería Química,2310,1783,2073,1962,1959,2071,1699,1576,1603,1861
Ingeniería de Sistemas,3795,3955,3755,4001,4536,4661,3650,3816,3999,4190
Ingeniería,22339,21774,22443,21971,23224,22635,20465,20444,20113,21410
Medicina,4918,5292,5623,5453,5524,4474,4445,4113,4331,4519
Total Uniandes,96008,95671,97228,96955,97285,95792,93498,94126,96871,100100
